subawardee_uei,subawardee_name,entity_url,company_linkedin_url
K57VXTHZ2E79,ARRIKAI LLC,www.arrikai.com,https://linkedin.com/company/arrikai-llc
K595Q8MM2M74,ADVANCED RESEARCH AND ENGINEERING INTEGRATED SOLUTIONS LLC,http://www.areisllc.com,
K59JNSB6SKN4,"SPIRE COMMUNICATIONS, INC.",http://www.spirecomm.com/,https://linkedin.com/company/spire-communications
K5ADHNXHK3D7,ANIXTER INC.,www.anixter.com,https://linkedin.com/company/anixter
K5BPUJ159KF9,"MAGELLAN AEROSPACE, WINNIPEG",http://www.magellan.aero/,https://linkedin.com/company/magellan-aerospace
K5BYLSNF8WL5,"CHAPMAN AIR SYSTEMS, INC",,
K5CSHFKMR8C4,"HANWHA AEROSPACE CO., LTD.",http://www.hanwhaaerospace.co.kr/,https://linkedin.com/company/hanwha-aerospace-europe
K5DSFYKEULJ7,I-STAR ENERGY SOLUTIONS LLC,,
K5EEMZNDC9K8,"FRONTIER PRECISION, INC",WWW.FRONTIERPRECISION.COM,https://linkedin.com/company/frontier-precision-inc.
K5ELVTPHUZU8,DTROVISION LLC,,
K5FNK7A27Z83,"VERACITY CONSULTING GROUP, LLC",www.meetveracity.com,https://linkedin.com/company/veracitybyrgp
K5G5MP4LKNR4,"PROTEUS MOTION, INC.",,
K5G9TKRMC7R7,"MARONEY COMPANY, LLC",,
K5H4HMFGY1J4,"CVDTEK, INC.",,
K5HLN65BXC76,"TWD & ASSOCIATES, INC.",http://www.twd.com,https://linkedin.com/company/twd&associates-inc
K5JPSQ4GAG91,EAST PLUM LLC,www.eastplum.com,https://linkedin.com/company/east-plum
K5L2FL4M2298,CONCORDIAN CORPORATION,www.concordiancorp.com,https://linkedin.com/company/concordian-corporation
K5L5KR3MZ538,"ASRC FEDERAL DATA SOLUTIONS, LLC",,
K5L8DBZW6M91,"HI REL CONNECTORS, INC.",http://www.hirelco.net,https://linkedin.com/company/hirel-connectors-inc.
K5LWYN6M2GP7,BGASOFT INC,http://www.bgasoft.com/,https://linkedin.com/company/bgasoft-inc
K5MJZJMBZJ46,"FACILITY INTERIORS, INC.",www.facilityinteriors.com,https://linkedin.com/company/facility-interiors
K5RKKDFY32G8,HEXCEL POTTSVILLE CORP,http://www.hexcel.com,https://linkedin.com/company/hexcel-corporation
K5TBNBLVG1F8,"CACI IDT, LLC",https://www.caci.com,https://linkedin.com/company/caci-international-inc
K5TMAM98KHD3,LOMA LINDA UNIVERSITY MEDICAL CENTER,,
K5UZH9K14QF9,"UNITED STATES TOWER SERVICES, LIMITED",http://www.ustowerservices.com,https://linkedin.com/company/united-states-tower-services-ltd-
K5V5SEGD6G28,ITL TRANSPORTMASCHINEN GMBH,,
K5WASFGRFAG5,DATA SYSTEMS ANALYSTS INC,http://www.dsainc.com,https://linkedin.com/company/dsa
K5WKVN8NQEY5,"AEGIS PROJECT CONTROLS, LLC.",www.consultaegis.com,https://linkedin.com/company/consultaegis
K5WVCD4GUK41,JONATHAN ENGINEERED SOLUTIONS CORP.,www.jonathanengr.com,https://linkedin.com/company/jonathan-engineered-solutions
K5X6B9AY7HV6,"SPECIALTY RING PRODUCTS, INC.",,
K618DLJVEJ45,CWR TECHNOLOGIES L.L.C.,www.cwrtech.com,https://linkedin.com/company/cwr-technologies
K63NJBSUCQW3,RAC LLC,www.racgov.com,
K65JKFKWKXM7,MARINE SPECIALTY PAINTING INC.,www.marinespecialtypainting.com,https://linkedin.com/company/marine-specialty-painting
K66PRQQXMCA4,BOON EDAM INC.,http://www.boonedam.com,https://linkedin.com/company/boonedam
K66TD5ZNX2G5,TRUST ONE COMPONENTS INC,www.trustonecomponents.com,https://linkedin.com/company/t1-components
K67DTTG9L6S5,"GEODESICX, INC.",http://www.geodesicx.com,https://linkedin.com/company/geodesicx-inc.
K67MF4NWKCC9,EDGE TECHNOLOGIES INC,http://www.edgeti.com/,https://linkedin.com/company/edgeti
K6BCB5RNHHW6,"IED SUPPORT SERVICES, LLC",,
K6C9QDLSGEA5,DAYTONA DRIVING SCHOOL,,
K6CCYF3ZWHK8,XYZ REALITY LIMITED,,
K6CQG2YRERK9,TRIGON CYBER INC.,www.trigoncyber.com,https://linkedin.com/company/trigoncyber
K6EJCRBJFR43,"COMMS. MOBILE SOLUTIONS, LLC",http://www.commsmobilesolutions.com,https://linkedin.com/company/comms.-mobile-solutions-llc
K6EPQDKP2HX6,TIMBERLINE HELICOPTERS INC,,
K6EYVA6PJ7J5,"ELLIOTT ELECTRIC SUPPLY, INC.",http://www.elliottelectric.com,https://linkedin.com/company/elliott-electric-supply
K6FDSFC2WR39,BOARD TECHNOLOGY INNOVATIONS LLC,http://www.btipcb.com,https://linkedin.com/company/innovative-board-technologies
K6GXTKTMA8D4,LEONARDS METAL INC,www.lmiaerospace.com,https://linkedin.com/company/lmi-aerospace
K6HPN25G7FC4,INTEGRATED PROCUREMENT TECHNOLOGIES,www.iptsb.com,https://linkedin.com/company/iptsb
K6KGAKQZH9A8,"AVCORP INDUSTRIES, INC",https://www.latecoere.aero/en/implantation/delta-canada/,https://linkedin.com/company/latecoere
K6N8ZTZ3L5M5,KAIA INC,https://kaiainc.com/,https://linkedin.com/company/kaiainc
K6PBS5DKCBW6,QUALITY AERO INC,WWW.ALE.COM,https://linkedin.com/company/alee
K6QLEQBN38L9,ADB SAFEGATE AMERICAS LLC,,
K6QZVGLHMDC4,"OPTICS TECHNOLOGY, INC",WWW.OPTICSTECHNOLOGY.COM,https://linkedin.com/company/optics-technology-inc-
K6TLMY7UBHJ6,"STRATEGIC DATA SYSTEMS, INC.",https://www.sdatasystems.com,https://linkedin.com/company/strategic-data-systems-san-diego-
K6V9KK6D3CW1,"DATASPAN HOLDINGS, INC.",www.dataspan.com,https://linkedin.com/company/dataspan
K6X7HMMH1P59,NETWORK TECHNOLOGIES INC,http://www.networktechinc.com/,https://linkedin.com/company/network-technologies-inc
K6XWL1L9CLD1,"FINE LABORATORIES, INC.",http://www.finelabs.com,https://linkedin.com/company/fine-laboratories-inc-
K6ZNV8GRWK66,FOCUSED INGENUITY INC,,
K6ZUHCANKUA3,VOLTRON TECHNOLOGY LLC,,
K729HYTM8J23,LITE COMS LLC,www.litcoms.com,
